id,ncbi_taxon_id,gbif_taxon_id,ncbi_canonical_name,gbif_canonical_name,gbif_synonyms_ids,gbif_synonyms_names,ncbi_synonyms_names
377,,5968875,,Heteronucia elegans,,,
378,,2221769,,Heteronucia spinifera,,,
379,,8930263,,Heteronucia fujitai,,,
380,,4382677,,Heteronucia angulata,,,
381,,5968871,,Heteronucia laminata,,,
382,,5968867,,Heteronucia perlata,5968868,Nucia perlata,
383,3030769,5968938,Nursia plicata,Nursia plicata,5968939,Cancer plicata,Cancer plicata
384,,5968940,,Nursia persica,,,
385,,5968955,,Nursia nasuta,,,
386,,5968942,,Nursia weberi,,,
387,,4644364,,Nursia sinuata,,,
388,,4377409,,Nursia dimorpha,,,
389,,5968949,,Nursia phylloides,,,
390,,5968941,,Nursia sexangulata,11032126,Nursia elegans sexangulata,
391,,9682158,,Nursia tohae,,,
392,,5968948,,Nursia mimetica,,,
393,,5968957,,Nursia trilobata,,,
394,,5968960,,Nursia alata,,,
395,,5968950,,Nursia hamipleopoda,,,
396,,5968958,,Nursia japonica,11013229,Nursia elegans japonica,
397,,11523620,,Nursia bilobata,,,
398,,5968951,,Nursia elegans,,,
399,,10693533,,Nursia blanfordi,,,
400,,5968959,,Nursia lamellata,10935219,Nursia elegans lamellata,
401,,5968937,,Nursia guinotae,,,
402,,5968956,,Nursia rhomboidalis,5969082,Ebalia rhomboidalis,
403,,5968952,,Nursia minor,5968954; 5968953,Ebalia minor; Nursia sinica,
404,,5968944,,Nursia lar,5968945; 8083209; 11996558; 5968947,Parthenope lar; Parthenope lar; Nursia hardweckii; Nursia hardwickii,
405,1240049,5969217,Persephona edwardsii,Persephona edwardsii,,,
406,1240055,5969219,Persephona lichtensteinii,Persephona lichtensteinii,5969224,Persephona finneganae,
407,1240053,2221808,Persephona crinita,Persephona crinita,,,
408,1240056,5969215,Persephona orbicularis,Persephona orbicularis,5969213; 5969214,Persephona townsendi; Myra townsendi,
409,1240050,2221809,Persephona mediterranea,Persephona mediterranea,5969216,Cancer mediterraneus,
410,1240058,2221807,Persephona subovata,Persephona subovata,5969218; 5968852,Myra subovata; Iliacantha hancocki,
411,1240057,2221803,Persephona punctata,Persephona punctata,5969223; 5969220; 10975279; 5969222; 11073171; 12118780; 5969221; 11368607,Persephona latreillei; Cancer punctata; Persephona spec; Persephona guaia; Persephona spec; Guaia punctata; Persephona lamarckii; Guia punctata,
412,1240054,,Persephona finneganae,,,,
413,1240059,,Persephona townsendi,,,,
414,,8690443,,Persephona enigmatica,,,
415,,8591237,,Persephona rodesae,,,
416,,8642004,,Persephona manningi,,,
417,,8439535,,Persephona bigranulata,,,
418,,8512979,,Persephona niemeyeri,,,
419,,2221806,,Persephona aquilonaris,2221805,Persephona punctata aquilonaris,
420,,8557142,,Persephona invalida,,,
421,,8637972,,Persephona prepunctata,,,
422,3030771,4644372,Paranursia abbreviata,Paranursia abbreviata,4644366,Nursia abbreviata,Nursia abbreviata
423,,8649582,,Paranursia acharyai,12283868,Nursia acharyai,
424,1550684,5969197,Urashima pustuloides,Urashima pustuloides,,,
425,,5969195,,Urashima lamellidentatus,5969196,Randallia lamellidentata,
426,2320876,5969209,Parilia alcocki,Parilia alcocki,,,
427,,4644346,,Parilia major,,,
428,,5969206,,Parilia ovata,5969207,Myra anomala,
429,,9762095,,Parilia pattersoni,,,
430,2584452,5799028,Leucosia craniolaris,Leucosia craniolaris,5968784; 8347746; 5968786; 4644148; 5968785; 5799021,Leucosia obscura; Leucosia obscura; Leucosia parvimana; Cancer craniolaris; Leucosia pallida; Leucosia perlata,
431,2584453,5731468,Leucosia rubripalma,Leucosia rubripalma,,,
432,2585720,5731470,Leucosia anatum,Leucosia anatum,4644155; 5799011; 5799025; 5799019; 5731465; 5799022; 5799013; 5799015,Cancer anatum; Leucosia splendida; Leucosia pulcherrima; Leucosia polita; Leucosia longifrons; Leucosia australiensis; Leucosia neocaledonica; Leucosia ornata,Cancer anatum
